# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
lymphoma	35	23	12	605;604;595;238;8301;399;154215;89795;4869;1656;9258;80184;4253;673;8028;4609;4791;2213;843;83417;200942;472;2531	5820;100270953;3119;285834;3118;57476;3127;79827;64895;56169;3132;29113
lymphoma, non-hodgkin	27	21	6	2213;605;595;9258;604;83417;1656;4253;673;472;80184;8028;4869;238;8301;4609;843;399;2531;89795;4791	285834;3119;3118;57476;79827;29113
lymphoproliferative disorders	126	96	32	4303;4302;4300;23048;10215;5079;8301;28992;115761;694;695;3558;84159;4869;348801;673;8028;3131;285527;10962;2060;56244;5159;595;6988;100272147;399;2309;7249;89795;89884;2261;1656;9258;3662;80184;4066;843;4298;841;83417;4297;5087;200942;29844;154215;331;57569;6929;8115;974;973;4068;596;27086;79184;50515;27125;6886;6887;4609;4299;2213;3195;4683;861;254065;605;604;10006;6491;10272;602;8178;608;238;472;5450;4928;4004;4005;4515;64127;25925;29760;4094;4253;3702;4791;2120;3543;56262;356;355;7468;2531	10320;54986;56169;285834;8626;79827;100128431;9855;64895;5820;11262;3127;84159;29113;25865;3662;57476;401475;5462;3132;6176;100270953;3394;3119;3118;3117;55289;8701;3123;79476;3431;79482
lysosomal storage diseases	51	51	0	2717;3988;5476;57192;5224;4125;5660;6609;175;10577;10020;285362;2542;5256;5257;5255;2548;4126;5236;79158;5836;51128;348;427;2998;84572;2581;2720;2760;4864;2588;3073;3074;1497;26503;6448;4758;138050;4669;5261;2990;2629;3373;3425;2997;3423;2799;410;411;2517;1513
lysosomal storage diseases, nervous system	36	36	0	2717;5476;57192;5224;5660;6609;10577;10020;285362;2542;5256;5257;5255;2548;5236;5836;51128;348;427;2998;84572;2581;2720;2760;4864;3073;3074;26503;4758;5261;2629;2997;79158;410;411;2517
macular degeneration	55	20	39	24;387715;6785;718;54714;5961;6103;1471;1524;7439;83872;3075;84839;7078;8842;7099;10516;5654;1001;2074	360023;387715;7936;629;6499;221527;59338;343450;441726;80864;10554;728402;259266;1071;221294;221416;6048;3080;10877;3990;8224;718;717;1797;9709;3075;3078;5654;81579;23418;8797;118663;7148;3426;8859;5978;7422;2165;81494
malabsorption syndromes	45	3	42	10019;1493;4650	3592;56169;7128;4026;23308;10477;150962;3676;5820;59067;116028;1233;60468;3558;25949;8807;2113;8809;1230;2720;29851;117289;647215;389015;5996;167826;79258;5771;431704;9173;359758;5619;5341;3117;100270859;864;5796;6311;57514;57178;84162;2829
male urogenital diseases	366	165	213	5310;4306;57135;50617;760;6557;6559;7225;5076;4477;8542;3557;268;6648;5824;5828;7056;8671;79058;8653;1316;23607;3939;142680;718;7809;84733;6716;117144;269;6092;4233;116093;3640;6569;4643;2492;128674;4481;2253;988;120227;65266;190;7030;11136;23301;81;6519;5251;9380;79663;6662;117155;51196;6514;5314;525;4968;11281;367;2260;2261;4214;64423;8287;3265;4627;2271;6421;1729;161497;6770;2048;55636;7422;57054;57055;4952;5972;7428;3758;122042;8504;5546;629;60528;23405;6928;5167;3295;3293;27241;1589;1636;2056;7490;1586;4868;1584;183;6041;185;9409;189;284654;112817;10312;6521;1594;5311;3075;3077;3284;11236;4601;1188;11200;1187;1184;4179;201163;2516;340024;554;551;8074;3730;6340;5728;4920;5195;1617;7466;5190;5193;5192;5925;50846;1758;65125;5800;4841;3973;3913;7421;7369;57531;55193;493856;60675;6736;7827;1285;1287;1286;5830;3426;84925;6337;55670;6338;81494;359;6524	10611;8626;153572;10863;646255;401237;23362;28991;391679;3655;200420;128822;22834;389136;4477;8542;346711;83636;26579;3123;11112;7054;22853;4983;407977;2152;7369;29851;26011;7399;84902;8029;100271222;367;11278;200315;80832;23562;6569;80031;139189;122525;3031;6563;100271317;81037;157638;55589;2255;51071;5010;2492;595;23466;3709;5305;8395;9651;728409;286097;22918;23301;9658;100270946;100271209;6781;728484;7015;6262;100270916;6662;6660;653268;57619;387934;6665;898;55423;401145;221416;2263;50805;57575;6582;6581;6580;3817;9153;55729;9526;100130338;55214;7092;150280;219931;140885;23780;25978;11122;340602;79611;126969;389840;7422;2677;340895;284274;54535;430;100128390;5462;578;30011;10460;3751;646195;117583;8741;100271372;402123;6928;116448;22925;222546;10255;7029;8193;7903;54790;79887;10665;4824;58472;5696;403301;253461;638;79083;256356;196374;3075;80762;4609;100147821;9027;390218;4603;26281;56965;10;3119;2646;4760;949;359941;353329;8661;354;254778;204474;1293;6498;6744;58500;100271091;158222;23635;100189492;51422;94274;84075;8897;5192;8673;29956;2034;6909;2628;81848;55170;80319;137868;449492;84790;449493;26957;55190;4254;4257;56311;401475;55686;90859;60677;60678;100270871;8000;8416;1060;7337;1803;8082;3118;3117;3116;5630;1471;51312;4855;1761;54901;29107;63892
malformations of cortical development	23	23	0	5048;5649;3679;5728;79147;9289;79840;347733;7249;7248;2018;1292;1293;170302;10564;7846;9215;1291;1641;2316;2218;57190;54820
mental retardation, x-linked	72	72	0	6855;3920;215;9459;9203;3373;5048;5631;27286;6535;2245;641339;51422;10479;4204;3476;1641;24140;3028;10084;3251;7592;5456;51114;4983;546;8905;186;65109;7552;8573;170302;5160;5162;57477;10075;5063;2664;10159;23133;2182;6611;347344;8450;8242;2334;7846;84061;6448;23096;138050;2332;7319;6658;3423;158866;6567;11141;51;7102;3425;2892;57502;6197;26260;116442;2290;254065;9968;1741;54820;538
metabolic diseases	723	441	301	3920;1200;55343;4023;285362;7306;5824;5828;3559;3257;344;80331;348;1798;142680;1493;1497;5468;7048;4935;10195;5261;84233;291;593;594;120227;140803;56052;11136;275;4072;6389;2542;493856;80207;2548;79728;3651;525;26258;2263;1234;64421;443;5009;2760;445;6934;4351;25978;37;36;35;34;23064;640;57505;3251;4952;435;338;335;8462;64221;3291;10020;51021;255738;857;7415;2683;346171;116519;112817;55277;84823;340024;23435;91949;95;1629;5189;256297;5224;148738;56652;3636;3630;6891;6890;6898;4292;5354;1758;51151;388552;79783;9445;5538;4508;4669;85476;2538;1471;686;2717;50484;9365;5078;7389;8546;8540;8504;203228;1371;1373;6329;3939;3931;23479;5994;5264;5993;1591;10111;22845;3242;4137;5660;65266;5498;7036;6927;5251;1717;4728;9382;5255;4723;6311;51204;3667;2071;4541;4540;249;4547;164656;29929;79053;4261;2591;2592;1340;5663;4436;6928;178;175;4538;4539;30061;4535;4536;4537;4948;57104;183;9401;185;2110;9409;189;3081;26580;10157;2629;10019;5896;5897;11232;3284;11234;138050;1509;55065;5830;3141;19;27034;84062;3145;4650;54982;54664;4760;5213;10577;493753;5195;5194;5191;5190;5193;5192;9896;2539;65125;204;779;79087;57817;2235;79158;2187;9479;4306;8625;3077;5095;5096;5506;2189;3172;2521;2653;540;29978;2243;7391;7390;9370;284119;6448;6569;89781;2068;2799;410;411;412;4976;3949;5395;3373;11200;10128;8443;7369;4281;4286;5091;5092;4126;4125;9526;54657;2934;54658;383;4758;1643;1729;6770;50617;8813;5972;1589;7157;57679;1586;1584;1585;56606;4247;27329;2055;9131;2584;2582;2581;7299;10312;1355;2588;6521;7486;6524;7841;4683;2896;55120;2109;2108;4864;2517;1513;91869;2639;2731;10165;2632;5256;256471;9180;5053;641;79840;875;6559;4598;1244;11132;55215;10466;5836;5837;51251;440138;4000;7507;3988;351;55670;7508;3981;215;212;210;760;5476;6647;5373;283;10133;3643;2998;2990;51;2997;2395;538;2778;57192;6901;9997;6519;6261;79803;2720;6514;6517;2176;2177;2175;2073;2072;2178;427;2074;3815;2203;847;846;7276;51422;2671;2670;149998;7421;54822;6833;6834;10555;6609;10559;1738;1636;1639;4069;5236;4744;55315;84342;84343;5860;64135;567;1594;3073;3074;229;2184;1593;2956;224;5346;5429;5428;1184;1029;51128;79796;1161;5447;23101;1201;8074;1203;6341;6340;4519;4512;4513;4514;8671;8675;1352;26119;85365;5160;5162;84572;5167;28976;9380;26503;9217;5257;1807;1806;56945;3423;25839;3425;472;6337;374291;6338;7466	100131609;22807;56999;54602;339896;10296;8622;79635;4026;9861;8549;26471;7227;60685;80736;3767;116085;400223;22836;22837;5820;442257;643550;57827;57514;3122;64375;3120;100270859;3254;3127;7054;1071;25949;8658;10666;9905;63951;283460;267015;267017;2158;54901;287;3990;352961;145741;80737;8638;3481;5144;1797;9374;6446;23274;22920;5996;84991;167826;3132;246778;9173;203228;100270827;5619;6014;29121;100270950;723961;3304;729611;6891;6311;5696;3123;157638;7117;53940;2065;4023;729288;55328;57118;6480;388125;169792;55423;391719;55323;116935;221527;864;23308;8872;253013;150962;22918;56832;10239;3305;3676;5491;84320;59067;6262;340598;5796;116028;4439;1852;54469;3479;8882;100271600;84226;204010;8807;389203;7919;7536;8809;128486;6821;1236;1230;79660;3586;1233;84450;56984;89822;100271203;136259;8567;1512;100270938;6934;340460;5771;431704;440387;100271597;7128;378805;5122;4758;359758;7148;114904;7466;56244;80059;389015;9559;53335;5871;257397;644020;139716;57829;430;7547;3592;140902;56169;442117;79571;629;441726;6605;283598;100271271;10253;100270925;7917;7916;23242;339799;22979;80069;10665;100130239;2888;84811;3516;100147745;10221;387103;90768;114182;100270945;115352;56606;6048;2113;5789;25865;53347;4277;116519;166336;3558;10644;64135;10562;10019;359775;2184;3667;116985;3172;3087;94241;84871;5341;5184;83795;2895;6753;3118;55384;391524;647215;8935;79068;969;7092;57178;155061;2829;4544;388011;79667;54665;3630;729816;5649;6890;10477;11321;63826;1504;3119;139363;55876;9055;10363;4276;4008;54875;3109;7074;9223;26191;3107;60468;40;221895;168850;717;2745;3976;100271063;29851;5289;10554;26797;2720;2646;117289;998;7297;645345;3559;7103;100287887;677828;100270981;169026;79970;1804;3784;9709;3117;84162;3112;135154;5937;79258;8859;1493;54536;80018;4853;57624;4855;399716;6231;23025;29107;63892
metabolic syndrome x	20	0	20	4544;79660;2646;8658;84226;100270981;84450;84811;116519;8882;79635;9709;441726;11321;4023;157638;1071;100271597;10221;3990
metabolism, inborn errors	329	309	21	3920;57817;212;2717;210;2653;22845;760;3077;116519;55343;5476;7391;215;1355;4023;3373;4125;8546;8540;79158;285362;3284;7306;5824;7841;5373;3257;344;1340;540;26580;5009;348;6329;2243;493753;1798;3939;142680;7369;65125;3931;6901;5096;2632;10195;1497;10555;1738;6448;5428;2998;6337;5264;6569;5261;2990;3242;51;2997;89781;2799;410;411;412;10128;1184;80331;538;2778;3949;593;594;120227;1589;65266;56052;26119;11136;4000;5498;275;7036;8443;5224;6389;9997;6519;4281;4286;4728;9382;5255;5091;5092;2548;6514;4126;4723;57192;525;26258;1513;2263;847;427;7389;54657;3815;443;9526;2760;54658;445;34;383;4541;4540;249;4351;4547;4758;7276;1729;4306;6770;36;35;51422;2670;50617;149998;1244;29929;5828;4952;5972;435;79053;91869;4069;8504;2592;6834;335;4948;4247;5660;5236;5167;178;6609;175;3291;10020;10559;37;1371;2203;4538;1636;183;4535;4537;1586;1373;1584;1585;30061;84342;84343;56606;185;2110;6559;9409;189;3081;5860;7299;2683;5836;2584;10157;112817;5837;2588;51204;10312;84572;79087;8074;6521;1594;3073;3074;6524;229;2184;1593;11234;224;95;27329;138050;1509;55065;4935;5184;3141;19;2542;1629;5189;338;27034;2109;2108;51128;4864;148738;84062;2517;5256;1352;3145;857;79796;2639;2731;54982;2235;10165;1201;1200;1203;91949;440138;1717;256471;5213;9180;6898;10577;5053;6341;6340;5354;3251;2581;4514;4512;4513;875;5191;5190;5193;5192;2055;8671;1471;5095;8675;1758;51151;8813;4598;85365;388552;5160;5162;2629;79783;2582;2720;26503;779;10466;5251;284119;28976;9380;7421;5538;4508;5257;1807;1806;51251;4669;5830;255738;3423;6338;5447;3425;5195;2538;2539;3988;5194;55670;374291;686;25839;79803;7390;340024	5289;6446;79667;7536;54875;56606;5871;2895;84871;40;139363;5649;114182;7117;359775;257397;7092;6014;116085;53940;7547
metal metabolism, inborn errors	21	21	0	2778;57817;5167;5251;8675;1594;120227;779;1184;3077;148738;8074;30061;540;6329;7036;1758;7421;249;142680;538
mitochondrial diseases	59	59	0	56652;2639;6834;50484;5162;64221;10128;4723;34;6389;9997;6341;493753;4519;4538;4728;6261;80207;4535;4536;4537;4514;1585;1340;1373;2108;2110;5091;84233;5160;51021;9131;79783;1352;1355;374291;51204;4541;4540;11232;4508;4539;55065;5428;56945;85476;37;36;35;27034;2671;4512;2109;2395;57505;4513;28976;4976;291
motor neuron disease	37	29	9	2617;57679;2733;57449;113278;59341;6606;6607;2521;1639;6647;203228;4744;9896;7415;367;283;29978;3508;10133;55277;23435;9217;26580;7443;23064;6311;54822;538	1804;79970;7074;998;23025;22920;56832;155061;203228
mouth diseases	50	5	45	50945;1075;6654;4487;23314	360203;147381;56169;80862;285834;9241;116935;729816;27042;6148;10255;4340;5820;4280;3595;340198;353007;3106;3107;100130889;342808;29113;267016;253018;3664;352961;57698;4276;3586;285829;387122;170679;3135;5460;267015;353010;353011;8870;780;149233;11023;170680;339210;10866;54535
movement disorders	75	34	44	7132;55737;3778;7345;23400;3064;23636;6622;120892;4204;1814;5071;1981;57194;540;7054;26058;27429;80025;8398;7080;2629;1861;83943;23230;11315;9627;25793;7337;114798;4137;65018;55145;112476	162540;114134;2580;442524;84660;84894;450234;57111;454;9451;9811;644150;401884;92949;6622;100129583;3122;4724;952;4905;84286;254428;29119;147081;7473;339263;23666;3662;4336;253782;285513;10228;100128646;120892;27074;81615;130013;56922;400403;4137;8934;6239;1006;926
multiple sclerosis	108	3	105	3575;100133941;5788	100131609;100130889;5747;401250;5820;100189469;3122;10892;3120;3127;3559;10665;267015;267016;352961;678;868;717;54207;677;5460;3132;4234;131368;79970;554251;5594;6565;2315;921;923;56244;199;10538;352997;116935;221527;6148;8449;253018;4280;23498;170679;23095;359758;7148;3394;6774;3123;644020;54536;3593;56169;629;2294;8320;7919;353002;7917;7916;7412;27120;3087;10919;4277;4276;160365;1594;1591;11262;64332;8477;965;54806;5341;5796;7936;729816;6891;2135;3109;3106;3107;60468;5491;8740;22898;147;387122;116379;440836;53832;117289;10461;152100;84769;1041;3119;3118;3117;7132;942;3112;148867;4855
muscular diseases	71	70	1	390594;56652;64419;50484;4703;1785;1073;8291;4618;64221;4000;274;7170;4540;5213;3736;23224;79147;4538;6261;4512;4535;859;4514;22954;1293;9782;10585;10020;23175;1292;1756;1291;2010;7555;9131;8106;8557;7273;7138;29954;779;5339;55624;4620;6444;6445;6442;6443;4626;5428;4541;90;11232;58;23345;7169;2318;2273;9499;4154;2218;1180;4534;203859;6329;825;1760;4625;291	10599
muscular disorders, atrophic	36	36	0	23345;9499;8557;5213;5339;10020;79147;4000;859;22954;9782;10585;23224;1292;1756;1291;2010;7555;8106;7273;29954;55624;6444;6445;6442;6443;1293;8291;2273;2318;4154;2218;203859;825;1760;4625
muscular dystrophies	39	39	0	23345;9499;8557;3679;5213;5339;10020;79147;4000;859;22954;9782;10585;23224;1292;1756;1291;2010;7555;8106;7273;29954;55624;6444;6445;6442;6443;1293;57190;9215;8291;2273;2318;4154;2218;203859;825;1760;4625
musculoskeletal abnormalities	68	68	0	374654;2736;2737;79659;1302;9241;9533;81839;64327;6949;6452;6899;5728;4920;3481;4488;6662;7050;3239;5727;4088;9401;2033;5781;2263;2260;2261;7476;51082;57539;7291;4313;207;50945;2657;8200;673;7046;3265;4626;392255;10683;8241;3643;7048;23314;6496;137814;6469;2254;1280;4750;860;4893;6654;5447;5307;8481;4487;3845;55997;2697;5894;1387;4853;157570;7546;50937
musculoskeletal diseases	361	248	118	374654;5176;1302;50484;760;4703;2657;1785;7138;8022;23592;5745;7227;6528;5213;22954;60681;8540;5479;7058;79147;1836;4148;2487;7050;1073;7048;4982;10585;3977;28962;2010;6329;8481;142680;1311;121340;3481;55624;6444;7046;23569;7040;1293;10682;10683;3339;3643;64175;5428;6445;2261;58;2318;7253;2316;8878;6654;5307;415;203859;3845;55997;825;1387;4488;291;2778;57539;81839;3569;169792;4893;8600;1482;6452;274;3309;7038;9496;4282;7369;5251;4041;6261;6662;4049;4318;9782;4487;6496;23175;5894;2263;2260;64840;9469;2074;6583;3663;8200;4620;9842;3265;4625;4626;4541;4540;23314;137814;7273;2254;2273;4750;6775;50964;6777;9499;1297;157570;3248;1513;7421;54829;673;50506;1299;7546;8820;9241;9533;8291;64221;6399;5339;8483;10020;1161;2200;4538;4534;4535;859;120227;9401;2688;5781;56606;59341;79659;7555;115352;4758;9131;8106;4277;10312;84572;56172;9451;390594;1594;7124;90;11232;7080;7169;100507436;4618;1186;860;1184;2218;1180;405753;2697;2693;2692;10491;2690;56652;2736;2737;132884;64419;7291;4088;139285;8443;8074;23345;64327;6949;7170;6899;3736;23224;5728;4920;2132;389434;2131;4512;3239;5191;5727;4514;871;1298;4591;2033;51082;8675;1758;1292;1756;1291;7474;29954;7476;1278;4313;207;5167;50945;779;1277;8557;81794;392255;4795;8792;8241;5352;2121;6469;1280;4154;4010;5447;4000;79158;57192;6442;1760;50937;4853;6443	952;7128;23046;7117;259308;116085;652411;3123;7056;3127;3559;25949;10665;4982;10660;10584;267015;389715;400867;3837;3135;200734;1493;23569;167826;3132;351143;100270956;6014;149233;344423;164832;10758;205327;54510;8707;3844;10599;56244;284274;55937;100270827;23263;22918;9658;200728;79722;84871;196527;51752;389203;7536;5966;1235;79667;3663;10133;353011;4055;1435;26147;25978;53940;51059;640;5871;257397;83648;7547;3593;23657;79574;79577;390283;100271278;7092;3516;114182;56606;6366;501;4276;359775;389136;344462;2895;864;150538;10678;23534;54665;729816;5649;9755;5211;958;11170;54875;10085;100169835;3107;40;326;3899;5289;147;391282;90355;26191;8792;6446;3119;3118;3117;139363;100129584;4855;7185
mycobacterium infections	35	7	28	3593;8517;3594;3459;6772;3460;1536	3127;168507;124460;3128;79747;1540;3122;3123;9966;734;646583;5932;352961;4277;80099;6299;3119;3118;3117;55744;400757;149233;8767;64127;121838;144811;160857;56244
myeloproliferative disorders	21	19	3	5159;25;3205;2122;54790;7158;861;7066;4297;3717;11064;11116;26127;2120;613;2260;9659;55752;124540	729536;3717;645668
myocardial infarction	21	4	17	23022;241;7804;4973	100130239;10151;375056;6597;7809;170690;6387;255738;283652;114036;100048912;79192;55759;1952;221692;9992;63951
myocardial ischemia	59	10	49	7015;4040;7804;948;8997;84159;241;23022;4205;4973	51530;217;79659;6597;65264;56996;55973;6943;283652;114036;653163;9992;79660;11173;170690;28;8882;255738;8658;80310;8613;25902;1874;23294;23293;63951;10400;100130239;10151;84439;375056;54805;7809;100271444;100048912;1952;283849;22808;221692;1284;4018;84722;1282;10743;6387;57608;3988;79192;55759
neoplasms	606	345	285	374654;4026;8301;28992;8091;5987;3558;7517;23512;348801;54738;6098;5468;7048;6794;10962;2317;2313;5914;10801;595;596;6598;201163;6389;79728;57591;1019;2261;5002;79663;80184;153090;23092;23095;7704;1656;2042;5573;2048;3092;57509;54556;55717;2737;9321;50515;4771;4299;10568;6421;3205;6756;6757;4072;54949;9940;55654;5081;8833;558;7175;238;727837;5450;5925;83990;1755;57531;613;4253;1277;8795;2120;2122;4914;8648;23022;2531;8643;3417;5079;1499;10342;5071;8013;5077;25;9833;3791;84159;4869;3932;1956;51684;6793;3845;4481;51079;701;7030;10232;399;2309;2308;8805;11281;8115;51201;124540;162967;3662;4626;4629;6289;2271;2272;79695;29844;79058;154215;79577;57569;4437;4436;6929;6928;7913;6927;23085;6288;972;7490;6988;5546;657;6041;154288;6049;2115;8379;5890;22800;5108;57082;11235;11236;861;862;865;867;10499;254065;10272;889;4763;4004;4005;84936;3973;3977;9950;8929;207;3621;208;4928;6862;5892;83605;4303;4302;3717;4300;23048;8626;3659;7248;4477;2521;694;1316;999;8028;8021;4233;116093;92521;2068;4978;2060;1385;1387;2064;27030;5395;11200;23301;23305;9258;7249;4221;367;51592;79145;5324;150094;1643;1649;200942;5979;51741;60528;2192;57670;7157;79184;1033;466;7486;11146;4683;4522;7994;10006;3868;89884;4088;4089;5290;11322;64324;5889;5888;6597;26511;5728;5727;221895;199713;2033;25925;4595;4841;8314;9049;672;8312;8313;4791;4157;84925;7507;8915;54904;7508;64783;10215;2322;115761;79142;2324;5371;324;675;4330;673;3131;6392;6390;6391;147138;2778;8031;8030;4893;100272147;5155;5157;5156;5606;51517;8522;57120;89795;10600;2078;4968;2073;2072;2071;3815;3265;843;4298;83417;4297;5087;4293;4292;7428;5159;285527;23405;27241;4066;6760;27086;5781;27125;63976;6886;6887;4609;2956;4601;2213;1027;5429;1029;1028;605;604;6491;602;8178;608;2132;2130;2131;4512;11178;3195;4515;9516;81847;4092;4094;55193;472;473;2000;7468;84168;3198	123688;217;55504;285176;8626;3132;112744;646255;22853;580;23362;131;7227;391679;3655;283491;22834;4477;83636;8673;26579;4276;11262;28;3127;7054;4983;57161;29086;29113;571;26278;387044;153572;100288517;577;5144;387122;7399;57609;10884;6447;8028;5462;100271222;125;51562;441073;8125;80724;116159;392371;2304;113510;100270953;80031;392382;79875;5305;6563;86123;10611;8701;81037;157638;85415;827;5010;10320;595;23466;6582;352997;352995;3709;2494;353021;7031;7032;645668;9855;100271197;128869;100147754;9497;729536;728484;4046;26154;222643;4285;7015;2099;80205;51196;653268;401237;5562;55289;898;51750;728615;2263;51592;50805;79608;4214;6581;6580;58480;3817;3117;5820;57476;1136;999;100048912;6176;347730;100271596;219931;23095;2255;100271618;3394;25978;347292;7141;340602;53335;643503;25865;2677;3123;54535;430;100128390;578;56169;4916;283450;130540;100270908;4004;338376;646192;79827;100128431;100271372;402123;6928;353003;353002;222546;7917;172;11221;4340;387934;8193;339799;2834;54790;644540;79476;4824;58472;9375;84159;26137;5168;650;27324;200315;79887;253461;140856;25817;57419;346171;729582;638;7299;79083;466;196374;10391;2122;267015;80762;4609;389136;390218;4600;26585;11278;10;652;3119;11200;861;220959;949;647121;80129;63877;8897;1452;8667;343045;57178;54796;54986;285834;286749;120376;6498;8558;23301;11320;23187;100189492;353238;94274;3232;84075;3231;57497;55770;3431;3106;55729;100133193;63976;3973;2034;81847;100271144;1293;81848;22891;80319;137868;79482;4092;8398;84790;3911;285829;55190;4254;55214;55892;401475;100131561;4507;122525;10460;4856;60678;100270871;152002;8000;647201;10371;7337;84312;57706;4157;8082;3118;1601;100130409;5630;3662;472;6662;354;64895;80018;367;100271015;51312;1761;63892
neoplasms by histologic type	335	264	79	4303;4302;3717;64783;23048;596;23512;4609;4005;4026;3417;5079;7249;8301;28992;10342;221895;8013;5077;25;115761;2521;694;2324;1029;79142;3791;5987;3558;7517;84159;4869;84936;5890;11146;3977;25925;675;348801;4330;3932;6098;8028;3131;51684;5468;8021;4233;116093;10962;10215;6794;51592;6793;6392;2317;6390;6391;92521;2313;4841;3845;2060;5914;1387;2064;10801;2778;8031;8030;6988;4893;100272147;5155;6757;7030;23085;1649;8522;399;23305;2309;2308;79663;3662;57591;89795;8805;10600;2078;1019;4968;11281;89884;2261;51201;55193;285527;5002;8091;162967;9258;3815;80184;1499;5324;3265;4626;1385;4629;23092;23095;843;7704;1656;2271;4298;83417;2322;4297;5573;4292;3092;5979;4300;79058;57509;7428;154215;5159;153090;54556;5371;55717;57569;23405;6929;7913;595;6927;9321;8115;27241;57670;4066;657;7157;7490;6597;5546;6760;27086;6598;79184;5781;154288;1033;50515;27125;2115;63976;865;466;6886;6887;5108;4771;4299;5156;11235;11236;6421;2213;3195;3205;4683;11200;861;862;6756;4763;867;201163;54949;10499;55654;7994;254065;5081;8833;605;604;10006;3868;6491;10272;602;8178;4089;889;608;5290;7175;64324;238;79145;727837;200942;124540;26511;8795;29844;5728;2132;5087;2130;2131;5450;6389;4928;4004;5727;4515;199713;5925;3973;7468;2033;324;4595;1755;9950;8929;84168;4094;57531;613;4253;1277;8314;9049;57120;8312;57082;673;4791;6862;2120;2122;4157;3621;4914;54738;84925;472;473;2000;9516;8648;8915;54904;2531;8643;83605	10320;54986;56169;285834;2034;285176;8626;3132;338376;3127;79827;100128431;645668;23187;9855;128869;595;3119;7015;353238;172;729536;5820;26154;55289;11262;3662;4004;401237;84159;51750;100271144;29113;100271618;79608;140856;25865;57419;58480;4276;580;100288517;7299;57476;9375;3431;401475;100131561;8028;5462;100048912;79482;267015;6176;8558;390218;23095;4600;4157;130540;100270953;3394;8082;3118;3117;949;4507;86123;472;55770;8701;3709;81037;64895;79476;3123;343045;1761;8398
neoplasms by site	336	122	224	374654;8626;3659;5071;4221;4477;150094;9833;7517;1316;83990;675;999;672;673;1956;1499;4233;7048;116093;6794;4437;23405;3845;4481;51079;2064;2778;27030;595;5395;5157;7030;11200;5606;23301;4072;79728;4968;11281;367;2261;51201;5002;79663;3265;4626;972;2271;6421;2272;5573;79695;2048;4292;5979;79058;57509;51741;7428;4978;60528;79577;2192;4436;6928;6927;27241;6288;6289;7157;7490;5546;657;6041;843;1033;6049;22800;5892;7486;2042;2956;10568;11236;4601;1027;4683;10232;862;4522;201163;9940;2737;4088;4089;5290;4763;4293;5889;5888;5728;4512;11178;5925;3973;81847;324;4595;4841;4092;207;57531;208;55193;9049;8312;8313;84925;54904;23022;3198	123688;217;55504;8626;153572;112744;646255;401237;23362;131;7227;391679;3655;283491;22834;4477;83636;8673;26579;11278;28;7054;4983;57161;267015;26278;387044;5144;387122;7399;10884;6447;8028;5462;100271222;125;51562;441073;80724;116159;392371;2304;113510;80031;392382;79875;5305;6563;10611;57609;81037;157638;85415;2255;5010;595;23466;6582;352997;352995;3709;2494;353021;7031;7032;55892;100271197;23301;100147754;9497;152002;728484;4046;7015;222643;4285;6662;2099;80205;51196;653268;22853;5562;898;728615;2263;51592;50805;4214;6581;6580;3817;3117;5820;1136;999;100048912;347730;100271596;219931;23095;25978;347292;7141;340602;53335;643503;2677;3123;54535;430;100128390;578;56169;4916;4276;571;577;646192;100271372;402123;6928;353003;353002;222546;7917;8125;11221;4340;387934;8193;339799;2834;54790;644540;4824;58472;26137;5168;650;27324;200315;79887;253461;25817;346171;729582;638;79083;466;196374;10391;2122;80762;4609;389136;390218;29086;10;652;3119;11200;861;220959;949;647121;80129;63877;8897;1452;8667;57178;54796;647201;120376;6498;401475;283450;100189492;100270908;94274;3232;84075;3231;57497;3106;55729;100133193;2034;81847;1293;81848;22891;80319;137868;4092;84790;3911;285829;55190;4254;55214;122525;10460;4856;60678;100270871;8000;10371;7337;84312;26585;8082;3118;1601;100130409;5630;354;80018;367;100271015;51312;1761;63892
neoplasms, connective and soft tissue	43	43	0	5573;23512;5155;6757;4026;11200;1649;727837;6760;8013;5077;2308;2521;8091;2131;7490;7249;221895;5925;2078;324;2115;5002;79058;3815;466;54738;1277;5890;4626;2132;5156;7030;2130;6392;2317;6390;6391;6756;2313;8648;1385;5081
neoplasms, connective tissue	30	30	0	5573;23512;5155;6757;11200;727837;6760;8013;2521;2130;2131;221895;5925;2078;324;2115;3815;466;54738;1277;4626;2132;5156;6392;2317;6390;6391;6756;2313;1385
neoplasms, germ cell and embryonal	71	42	29	6598;55717;3417;238;1499;6389;162967;7517;57670;473;199713;5925;1019;154288;1755;2261;8929;324;3815;675;5728;57120;673;6098;51684;4771;5468;23095;6862;4157;6794;6793;6392;6390;6391;1029;54949;5979;55654;2064;8643;7428	56169;130540;285176;23187;128869;7015;172;5820;26154;4004;401237;51750;100271144;79608;140856;57419;8398;580;7299;4507;343045;100048912;8558;4600;100271618;86123;472;81037;1761
