29211 3
51956 541 0.9386604774783193
55082 -1 0.0
44703 -1 0.0
9058 80 1.0
51053 -1 0.0
2064 -1 0.0
46434 -1 0.0
32370 -1 0.0
2698 -1 0.0
32386 -1 0.0
51271 272 0.880885613517279
23057 613 0.922119318335197
1905331 630 1.0
17148 403 0.9198863103908862
2682 412 0.886853760945026
60561 -1 0.0
16486 -1 0.0
32369 -1 0.0
723 -1 0.0
51957 541 0.9145046238609731
1933 -1 0.0
22408 152 0.945616038862717
9893 -1 0.0
60850 -1 0.0
50931 -1 0.0
6939 77 0.8677553354328263
75136 -1 0.0
71806 -1 0.0
45824 455 0.9420547128623418
15766 -1 0.0
1764 534 1.0
51098 575 0.9892216528231318
42219 -1 0.0
6081 501 1.0
51099 -1 0.0
45745 -1 0.0
6631 490 1.0
22600 78 1.0
50806 -1 0.0
2200 448 1.0
10001 711 0.9492165210771831
55006 -1 0.0
51254 -1 0.0
6304 -1 0.0
48384 -1 0.0
61912 -1 0.0
51252 -1 0.0
50679 704 0.9342097625638816
9101 382 0.9977461707611839
2684 -1 0.0
51176 -1 0.0
18085 -1 0.0
46887 -1 0.0
19722 20 0.9953351061855177
2000272 -1 0.0
30857 -1 0.0
46888 -1 0.0
50900 -1 0.0
32387 -1 0.0
140115 -1 0.0
51650 313 0.9989794485618672
1903961 541 0.9947232473511446
48569 -1 0.0
7173 -1 0.0
7010 -1 0.0
1934 -1 0.0
45727 -1 0.0
44406 -1 0.0
50678 704 1.0
8610 -1 0.0
52027 114 1.0
6480 -1 0.0
10566 -1 0.0
6865 -1 0.0
2831 345 0.9215449263645328
6538 40 1.0
6520 -1 0.0
120032 451 1.0
30010 150 0.937371753997994
51100 575 0.9507452037107821
36115 510 0.8437227482751768
22612 -1 0.0
34309 -1 0.0
10560 230 0.9037689070824139
6091 -1 0.0
43471 -1 0.0
31507 -1 0.0
15804 -1 0.0
42783 -1 0.0
1736 -1 0.0
1990 -1 0.0
21535 -1 0.0
31589 -1 0.0
1902930 -1 0.0
42246 -1 0.0
18298 -1 0.0
48762 -1 0.0
2440 -1 0.0
51716 -1 0.0
86012 -1 0.0
43393 673 0.997469528554955
1905114 -1 0.0
30198 289 1.0
7009 -1 0.0
3008 -1 0.0
15948 -1 0.0
30638 -1 0.0
9953 -1 0.0
50921 -1 0.0
6479 -1 0.0
51603 -1 0.0
44416 -1 0.0
15772 270 0.963336158546161
9826 -1 0.0
50974 -1 0.0
75262 607 0.8352018210250655
99120 -1 0.0
60232 -1 0.0
32147 -1 0.0
90305 -1 0.0
19219 -1 0.0
